DISTRICT,ROUTE,ROUTE_SFX,COUNTY,PM_PFX,PM,PM_SFX,LOCATION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT,Date,ANNUAL_AVG_TEMPERATURE,ANOMALY_TEMPERATURE,PRECIPITATION,ANOMALY_PRECIPITATION
7.0,2,,LA,,2.6,,"LOS ANGELES, BUNDY DRIVE",2550.0,30500.0,29500.0,2650.0,32000.0,30500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,3.645,,"LOS ANGELES, JCT. RTE. 405",4350.0,53000.0,51000.0,3900.0,52000.0,50000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,10.651,,"LOS ANGELES, SYCAMORE AVENUE",3900.0,52000.0,50000.0,2850.0,41500.0,40500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,10.896,,"LOS ANGELES, HIGHLAND AVENUE",2850.0,41500.0,40500.0,2750.0,40000.0,39000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,11.581,,"LOS ANGELES, VINE STREET",2750.0,40000.0,39000.0,2600.0,38500.0,37500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,12.32,,"LOS ANGELES, WILTON PLACE",2600.0,38500.0,37500.0,3000.0,44000.0,43500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,12.58,,"LOS ANGELES, WESTERN AVENUE",3000.0,44000.0,43500.0,3850.0,58000.0,56000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,12.75,,"LOS ANGELES, JCT. RTE. 101",3850.0,58000.0,56000.0,3200.0,42000.0,40500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,13.19,,"LOS ANGELES, SUNSET BOULEVARD",3200.0,42000.0,40500.0,3250.0,39500.0,38500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,13.592,,"LOS ANGELES, LEFT ONTO GLENDALE BLVD",2900.0,34000.0,33500.0,5500.0,62000.0,61000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,14.213,,"LOS ANGELES, RIGHT VIA THE GLENDALE FREEWAY",5500.0,62000.0,61000.0,5400.0,60000.0,58000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,15.143,,"LOS ANGELES, JCT. RTE. 5",5400.0,60000.0,58000.0,14600.0,163000.0,161000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,16.008,,"LOS ANGELES, SAN FERNANDO ROAD ",14600.0,163000.0,161000.0,14000.0,156000.0,154000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,R,17.002,,"LOS ANGELES, VERDUGO ROAD ",14000.0,156000.0,154000.0,12800.0,143000.0,141000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,R,17.288,,"LOS ANGELES, YORK BOULEVARD",12800.0,143000.0,141000.0,14500.0,163000.0,160000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,R,18.814,,"LOS ANGELES, JCT. RTE. 134",14500.0,163000.0,160000.0,12400.0,134000.0,130000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,R,20.053,,"GLENDALE, MOUNTAIN STREET ",12400.0,134000.0,130000.0,11800.0,123000.0,119000.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,R,22.939,,"LA CANADA-FLINTRIDGE, JCT. RTE. 210",11800.0,123000.0,119000.0,1500.0,15900.0,14500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,R,23.438,,"LA CANADA-FLINTRIDGE, FOOTHILL BOULEVARD",1500.0,15900.0,14500.0,1600.0,17300.0,15400.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,24.463,,"EAST JCT. RTE. 210, VIA ANGELES CREST HIGHWAY",1600.0,17300.0,15400.0,1600.0,17300.0,15400.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,R,25.35,,VISTA DEL VALLE ROAD,860.0,9300.0,8200.0,790.0,7900.0,6900.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,26.99,,ANGELES FOREST BOUNDARY,460.0,4000.0,3500.0,460.0,4000.0,3500.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,28.576,,SLIDE CANYON BRIDGE,580.0,5100.0,4400.0,580.0,5100.0,4400.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,33.8,,ANGELES FOREST HIGHWAY,410.0,3600.0,3100.0,110.0,860.0,750.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,38.37,,MOUNT WILSON ROAD,110.0,860.0,750.0,60.0,430.0,370.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,50.61,,"ENTRANCE, UPPER CHILAO RECREATION AREA",70.0,450.0,390.0,70.0,440.0,380.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,58.09,,BUCKHORN RANGER STATION,40.0,260.0,230.0,40.0,260.0,230.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,64.085,,"ISLIP SADDLE, JCT. RTE. 39 SOUTH (CLOSED)",40.0,250.0,220.0,40.0,250.0,220.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,77.39,,BLUE RIDGE ROAD,40.0,250.0,220.0,70.0,440.0,390.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,79.881,,BIG PINES HIGHWAY,70.0,440.0,390.0,280.0,1850.0,1600.0,2017,64.1,0.7,13.69,1.45
7.0,2,,LA,,82.265,,LOS ANGELES/SAN BERNARDINO COUNTY LINE,330.0,1800.0,1700.0,,,,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,0.0,,ORANGE/LOS ANGELES COUNTY LINE,,,,10200.0,176000.0,171000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,1.21,,"SANTA FE SPRINGS, VALLEY VIEW AVENUE ",10200.0,176000.0,171000.0,10100.0,173000.0,168000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,1.684,,"SANTA FE SPRINGS, ALONDRA BOULEVARD ",10100.0,173000.0,168000.0,10000.0,174000.0,169000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,2.408,,"NORWALK, CARMENITA ROAD ",10000.0,174000.0,169000.0,9900.0,177000.0,171000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,3.637,,"NORWALK, FIRESTONE BOULEVARD ",9900.0,177000.0,171000.0,10900.0,178000.0,175000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,4.22,,"NORWALK, NORWALK BLVD/SAN ANTONIO AVE ",10900.0,178000.0,175000.0,11100.0,179000.0,176000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,4.912,,"NORWALK, IMPERIAL HIGHWAY ",11100.0,179000.0,176000.0,12200.0,195000.0,192000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,6.848,,"SANTA FE SPRINGS, JCT. RTE. 605",12200.0,195000.0,192000.0,14100.0,234000.0,228000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,8.307,,"DOWNEY, LAKEWOOD BOULEVARD ",14100.0,234000.0,228000.0,14700.0,239000.0,234000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,8.947,,"DOWNEY, PARAMOUNT BOULEVARD ",14700.0,239000.0,234000.0,14600.0,239000.0,233000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,9.698,,"COMMERCE, SLAUSON AVENUE ",14600.0,239000.0,233000.0,13600.0,224000.0,220000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,10.876,,"COMMERCE, GARFIELD AVENUE ",13600.0,224000.0,220000.0,13200.0,225000.0,219000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,11.554,,"COMMERCE, WASHINGTON BOULEVARD ",13200.0,225000.0,219000.0,13600.0,234000.0,229000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,12.8,,"COMMERCE, ATLANTIC BOULEVARD ",13600.0,234000.0,229000.0,13600.0,237000.0,232000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,13.784,,"COMMERCE, JCT. RTE. 710",13600.0,237000.0,232000.0,15300.0,253000.0,244000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,14.251,,DOWNEY ROAD ,15300.0,253000.0,244000.0,15600.0,259000.0,250000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,14.8,,DITMAN AVENUE ,15600.0,259000.0,250000.0,15300.0,255000.0,248000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,14.944,,INDIANA STREET ,15300.0,255000.0,248000.0,15300.0,256000.0,250000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,16.474,,"LOS ANGELES, JCT. RTE. 60",15300.0,256000.0,250000.0,14700.0,237000.0,234000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,17.562,,"LOS ANGELES, FOURTH STREET ",14700.0,237000.0,234000.0,15400.0,245000.0,241000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,18.063,,"LOS ANGELES, CESAR CHAVEZ DRIVE ",15400.0,245000.0,241000.0,15000.0,234000.0,228000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,18.452,,"LOS ANGELES, JCT. RTE. 10",15000.0,234000.0,228000.0,16500.0,241000.0,234000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,19.196,,"LOS ANGELES, MAIN STREET ",16500.0,241000.0,234000.0,16700.0,238000.0,230000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,19.725,,"LOS ANGELES, NORTH BROADWAY ",16700.0,238000.0,230000.0,15900.0,227000.0,220000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,20.444,,"LOS ANGELES, JCT. RTE. 110",15900.0,227000.0,220000.0,18500.0,299000.0,283000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,21.83,,"LOS ANGELES, STADIUM WAY ",18500.0,299000.0,283000.0,18200.0,296000.0,278000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,22.548,,"LOS ANGELES, JCT. RTE. 2",18200.0,296000.0,278000.0,16000.0,239000.0,233000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,23.655,,"LOS ANGELES, GLENDALE BOULEVARD ",16000.0,239000.0,233000.0,14900.0,230000.0,224000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,24.33,,"LOS ANGELES, LOS FELIZ BLVD/GRIFFITH PARK DR",14900.0,230000.0,224000.0,16400.0,251000.0,247000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,25.781,,"LOS ANGELES, COLORADO BOULEVARD",16400.0,251000.0,247000.0,17700.0,262000.0,258000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,27.08,,"LOS ANGELES, JCT. RTE. 134",17700.0,262000.0,258000.0,16200.0,246000.0,237000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,27.837,,"GLENDALE, WESTERN AVENUE ",16200.0,246000.0,237000.0,15300.0,244000.0,230000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,28.426,,"BURBANK, ALAMEDA AVENUE ",15300.0,244000.0,230000.0,15000.0,239000.0,224000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,29.16,,"BURBANK, OLIVE AVENUE ",15000.0,239000.0,224000.0,14500.0,231000.0,215000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,29.777,,"BURBANK, BURBANK BOULEVARD ",14500.0,231000.0,215000.0,13800.0,220000.0,204000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,30.61,,"BURBANK, VICTORY BLVD/LINCOLN ST ",13800.0,220000.0,204000.0,13100.0,209000.0,192000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,31.234,,"BURBANK, BUENA VISTA STREET ",13100.0,209000.0,192000.0,13400.0,213000.0,194000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,32.35,,"LOS ANGELES, HOLLYWOOD WAY ",13400.0,213000.0,194000.0,14200.0,226000.0,205000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,33.281,,"LOS ANGELES, ROSCOE BOULEVARD ",14200.0,226000.0,205000.0,13500.0,201000.0,193000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,33.678,,"LOS ANGELES, SUNLAND BOULEVARD ",13500.0,201000.0,193000.0,13800.0,205000.0,196000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,34.275,,"LOS ANGELES, PENROSE STREET ",13800.0,205000.0,196000.0,13400.0,201000.0,193000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,34.989,,"LOS ANGELES, LANKERSHIM BOULEVARD ",13400.0,201000.0,193000.0,13300.0,200000.0,193000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,35.942,,"LOS ANGELES, SHELDON ST/LAUREL CANYON BLVD ",13300.0,200000.0,193000.0,13200.0,200000.0,194000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,36.358,,"LOS ANGELES, JCT. RTE. 170",13200.0,200000.0,194000.0,21700.0,302000.0,292000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,37.409,,"LOS ANGELES, OSBORNE STREET ",21700.0,302000.0,292000.0,23200.0,312000.0,307000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,37.957,,"LOS ANGELES, TERRA BELLA STREET ",23200.0,312000.0,307000.0,23000.0,305000.0,299000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,38.502,,"LOS ANGELES, VAN NUYS BOULEVARD ",23000.0,305000.0,299000.0,22600.0,294000.0,289000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,39.361,,"LOS ANGELES, JCT. RTE. 118",22600.0,294000.0,289000.0,13500.0,212000.0,196000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,39.98,,"LOS ANGELES, BRAND BOULEVARD ",13500.0,212000.0,196000.0,13400.0,206000.0,190000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,40.241,,"LOS ANGELES, SAN FERNANDO MISSION BLVD",13400.0,206000.0,190000.0,13300.0,204000.0,187000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,41.597,,"LOS ANGELES, JCT. RTE. 405",13300.0,204000.0,187000.0,21400.0,315000.0,304000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,,42.645,,"LOS ANGELES, ROXFORD STREET ",21400.0,315000.0,304000.0,19700.0,292000.0,282000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,44.014,,"LOS ANGELES, JCT. RTE. 210",19700.0,292000.0,282000.0,19600.0,299000.0,286000.0,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,R,44.015,,BREAK IN ROUTE,,,,,,,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,45.584,R,"LOS ANGELES, BEGIN TRUCK FWY, RIGHT ALIGN",,,,1550.0,21300.0,18500.0,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,44.924,R,"LOS ANGELES, END TRUCK FWY, RIGHT ALIGN",1550.0,21300.0,18500.0,,,,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,43.899,L,"LOS ANGELES, BEGIN TRUCK FWY, LEFT ALIGN",,,,1550.0,21300.0,18500.0,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,44.924,L,"LOS ANGELES, END TRUCK FWY, LEFT ALIGN",1550.0,21300.0,18500.0,,,,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,44.924,,"LOS ANGELES, END TRUCK FWY RIGHT AND LEFT ALIGN",,,,4550.0,61000.0,53000.0,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,45.734,,RTE. 5/14 SEPARATION OVERHEAD,4550.0,61000.0,53000.0,2900.0,40000.0,34500.0,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,46.351,,END TRUCK FREEWAY,2900.0,40000.0,34500.0,,,,2017,64.1,0.7,13.69,1.45
7.0,5,S,LA,C,46.352,,BREAK IN ROUTE,,,,,,,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,45.584,,JCT. RTE. 14,19600.0,299000.0,286000.0,17200.0,226000.0,206000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,49.03,,"SANTA CLARITA, CALGROVE BOULEVARD ",17200.0,226000.0,206000.0,17300.0,223000.0,205000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,50.326,,"SANTA CLARITA, LYONS AVENUE ",17300.0,223000.0,205000.0,16400.0,208000.0,192000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,51.442,,"SANTA CLARITA, MC BEAN PARKWAY ",16400.0,208000.0,192000.0,15700.0,196000.0,181000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,52.465,,"SANTA CLARITA, VALENCIA BOULEVARD ",15700.0,196000.0,181000.0,13900.0,174000.0,159000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,53.565,,"SANTA CLARITA, SOUTH JCT. RTE. 126",13900.0,174000.0,159000.0,12900.0,159000.0,144000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,54.161,,"SANTA CLARITA, RYE CANYON ROAD ",12900.0,159000.0,144000.0,12100.0,150000.0,135000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,55.48,,"SANTA CLARITA, NORTH JCT. RTE. 126",12100.0,150000.0,135000.0,11300.0,129000.0,118000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,56.602,,HASLEY CANYON ROAD ,11300.0,129000.0,115000.0,9700.0,104000.0,95000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,59.007,,PARKER ROAD ,9700.0,104000.0,95000.0,8200.0,83000.0,76000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,59.492,,LAKE HUGHES ROAD ,8200.0,83000.0,76000.0,8300.0,80000.0,73000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,65.967,,TEMPLIN HIGHWAY ,8300.0,80000.0,73000.0,9200.0,80000.0,72000.0,2017,64.1,0.7,13.69,1.45
7.0,5,,LA,R,74.45,,VISTA DEL LAGO ROAD ,9200.0,80000.0,72000.0,9200.0,80000.0,72000.0,2017,64.1,0.7,13.69,1.45
